app,Power,Energy,Time,start_time,start_total_frame,start_Janky_frames,start_Janky_frames_legacy,start_Number_Missed_Vsync,end_time,end_total_frame,end_Janky_frames,end_Janky_frames_legacy,end_Number_Missed_Vsync,Diff_time,Diff_total_frame,Diff_Janky_frames,Diff_Janky_frames_legacy,Diff_Number_Missed_Vsync
video_call,-3.636808,-469.2,129.014245,12:12:01,46,5,7,3,12:14:18,5829,35,40,19,0.0015856481481481,5783,30,33,16
video_call,-3.140495,-414.0,131.826341,12:14:42,6806,42,114,21,12:16:57,12707,46,152,25,0.0015625,5901,4,38,4
video_call,-3.317309,-414.0,124.799959,12:17:21,13577,53,159,28,12:19:24,18849,57,165,31,0.0014236111111111,5272,4,6,3
video_call,-3.157257,-414.0,131.126465,12:19:48,19705,62,170,31,12:22:06,25739,67,176,34,0.0015972222222222,6034,5,6,3
video_call,-3.26208,-414.0,126.912898,12:22:30,26623,73,180,36,12:24:43,32411,80,188,39,0.0015393518518518,5788,7,8,3
video_call,-3.253029,-414.0,127.265996,12:25:07,33262,86,192,41,12:27:21,39091,90,198,43,0.0015509259259259,5829,4,6,2
video_call,-3.356895,-414.0,123.328236,12:27:46,39976,96,203,45,12:29:51,45394,103,211,49,0.0014467592592592,5418,7,8,4
video_call,-3.520525,-441.6,125.435837,12:30:15,46256,110,217,52,12:32:31,52341,118,225,54,0.001574074074074,6085,8,8,2
video_call,-3.530446,-441.6,125.083334,12:32:55,53275,125,231,56,12:35:03,58824,132,267,59,0.0014814814814814,5549,7,36,3
video_call,-2.946779,-386.4,131.126232,12:55:11,45,3,6,1,12:57:24,4600,24,36,16,0.0015393518518518,4555,21,30,15
background_music,-0.865654,-110.4,127.533633,13:14:17,29,2,4,2,13:16:47,334,6,110,2,0.0017361111111111,305,4,106,0
background_music,-0.773582,-110.4,142.712802,13:17:11,1188,9,128,3,13:20:04,1393,12,135,3,0.0020023148148148,205,3,7,0
background_music,-0.809872,-110.4,136.317885,13:20:28,2249,14,145,5,13:23:22,2448,16,149,5,0.0020138888888888,199,2,4,0
background_music,-0.643507,-82.8,128.670001,13:23:47,3165,20,157,6,13:25:53,3546,26,209,6,0.0014583333333333,381,6,52,0
background_music,-0.771628,-110.4,143.074181,13:26:18,3568,27,213,7,13:28:44,3783,32,218,7,0.0016898148148148,215,5,5,0
background_music,-0.754945,-110.4,146.235791,13:29:08,3783,32,218,7,13:31:36,3783,32,218,7,0.0017129629629629,0,0,0,0
background_music,-0.754941,-110.4,146.23668,13:32:00,4638,35,252,9,13:34:25,4837,38,258,9,0.0016782407407407,199,3,6,0
background_music,-0.957576,-138.0,144.11382,13:34:49,5693,42,284,11,13:37:11,5888,45,288,11,0.0016435185185185,195,3,4,0
background_music,-0.919415,-138.0,150.095467,13:37:35,6343,51,297,14,13:40:08,6566,56,304,17,0.0017708333333333,223,5,7,3
background_music,-0.747782,-110.4,147.636644,13:40:32,7413,59,314,18,13:43:05,7613,62,320,18,0.0017708333333333,200,3,6,0
twitter,-1.657254,-220.8,133.232418,13:43:33,123,3,7,1,13:46:06,4144,49,60,4,0.0017708333333333,4021,46,53,3
twitter,-1.614679,-220.8,136.745462,13:46:34,136,5,6,3,13:49:08,4116,50,91,9,0.0017824074074074,3980,45,85,6
twitter,-1.670486,-220.8,132.177095,13:49:36,157,3,5,2,13:51:55,3238,35,98,4,0.0016087962962963,3081,32,93,2
twitter,-1.985972,-248.4,125.077307,13:52:24,148,2,4,1,13:54:43,3353,36,96,4,0.0016087962962963,3205,34,92,3
twitter,-1.598224,-220.8,138.153307,13:55:11,96,3,4,1,13:57:41,3747,33,83,5,0.0017361111111111,3651,30,79,4
twitter,-1.825847,-248.4,136.04647,13:58:10,105,6,6,4,14:00:37,3679,36,42,8,0.0017013888888888,3574,30,36,4
twitter,-1.775461,-248.4,139.907295,14:01:06,102,3,4,1,14:03:37,3773,45,62,8,0.0017476851851851,3671,42,58,7
twitter,-1.750622,-220.8,126.126597,14:04:06,225,6,14,3,14:06:23,3628,42,157,7,0.0015856481481481,3403,36,143,4
twitter,-2.346773,-303.6,129.369116,14:06:51,110,3,4,1,14:09:09,2339,29,41,5,0.0015972222222222,2229,26,37,4
twitter,-1.707775,-220.8,129.291027,14:09:38,114,3,4,1,14:11:58,3473,42,110,6,0.0016203703703703,3359,39,106,5
tiktok,-1.657254,-220.8,133.232418,13:43:31,42,11,13,10,13:46:04,1998,38,68,22,0.0017708333333333,1956,27,55,12
tiktok,-1.614679,-220.8,136.745462,13:46:32,63,3,7,2,13:49:06,1801,42,106,14,0.0017824074074074,1738,39,99,12
tiktok,-1.670486,-220.8,132.177095,13:49:34,60,4,7,3,13:51:53,1768,35,95,9,0.0016087962962963,1708,31,88,6
tiktok,-1.985972,-248.4,125.077307,13:52:22,61,5,8,3,13:54:41,1936,40,79,15,0.0016087962962963,1875,35,71,12
tiktok,-1.598224,-220.8,138.153307,13:55:09,63,3,7,2,13:57:39,1780,33,66,12,0.0017361111111111,1717,30,59,10
tiktok,-1.825847,-248.4,136.04647,13:58:08,64,3,8,2,14:00:35,1757,29,78,8,0.0017013888888888,1693,26,70,6
tiktok,-1.775461,-248.4,139.907295,14:01:03,74,5,8,2,14:03:35,1946,43,120,17,0.0017592592592592,1872,38,112,15
tiktok,-1.750622,-220.8,126.126597,14:04:04,63,3,8,2,14:06:20,1983,36,125,16,0.001574074074074,1920,33,117,14
tiktok,-2.346773,-303.6,129.369116,14:06:49,63,4,6,2,14:09:07,4483,122,376,50,0.0015972222222222,4420,118,370,48
tiktok,-1.707775,-220.8,129.291027,14:09:35,64,3,7,2,14:11:56,1909,34,88,12,0.0016319444444444,1845,31,81,10
game,-1.409192,-193.2,137.099854,14:12:23,6,0,0,0,14:14:40,177,8,26,0,0.0015856481481481,171,8,26,0
game,-1.4312,-193.2,134.991619,14:15:05,6,0,0,0,14:17:33,7,0,0,0,0.0017129629629629,1,0,0,0
game,-1.423746,-193.2,135.698321,14:17:57,6,0,0,0,14:20:22,742,23,25,1,0.0016782407407407,736,23,25,1
game,-1.447096,-193.2,133.508739,14:20:46,6,0,0,0,14:23:13,7,1,1,1,0.0017013888888888,1,1,1,1
game,-1.461636,-193.2,132.180622,14:23:38,6,0,0,0,14:26:03,7,0,0,0,0.0016782407407407,1,0,0,0
game,-1.304815,-165.6,126.914552,14:26:27,6,0,0,0,14:28:45,3426,3,2686,0,0.0015972222222222,3420,3,2686,0
game,-1.544662,-193.2,125.075943,14:29:09,6,0,0,0,14:31:28,1027,7,387,1,0.0016087962962963,1021,7,387,1
game,-1.54473,-193.2,125.070373,14:31:52,6,0,0,0,14:34:16,7,0,0,0,0.0016666666666666,1,0,0,0
game,-1.230688,-165.6,134.558897,14:34:40,6,0,0,0,14:37:11,7,1,1,1,0.0017476851851851,1,1,1,1
game,-1.366307,-165.6,121.20261,14:37:35,6,0,0,0,14:39:38,7,0,0,0,0.0014236111111111,1,0,0,0
web,-2.089271,-276.0,132.103516,14:40:01,18,2,3,1,14:42:22,4808,72,625,8,0.0016319444444444,4790,70,622,7
web,-2.468088,-303.6,123.010177,14:42:45,22,2,5,1,14:44:51,4193,110,443,5,0.0014583333333333,4171,108,438,4
web,-2.543128,-331.2,130.233301,14:45:14,21,3,4,1,14:47:23,4472,71,1225,5,0.0014930555555555,4451,68,1221,4
web,-2.461777,-303.6,123.325542,14:47:46,19,2,4,1,14:49:57,4780,54,272,6,0.0015162037037037,4761,52,268,5
web,-2.427204,-303.6,125.082173,14:50:20,20,2,3,1,14:52:32,4685,60,1069,5,0.0015277777777777,4665,58,1066,4
web,-2.01422,-248.4,123.323161,14:52:55,20,2,6,1,14:55:06,4039,120,363,6,0.0015162037037037,4019,118,357,5
web,-2.67031,-331.2,124.030543,14:55:30,18,2,3,1,14:57:40,4766,57,1492,5,0.0015046296296296,4748,55,1489,4
web,-2.439378,-303.6,124.457963,14:58:03,19,2,3,1,15:00:08,4161,97,942,7,0.0014467592592592,4142,95,939,6
web,-2.547659,-331.2,130.001703,15:00:31,20,2,6,1,15:02:46,4930,62,1023,8,0.0015625,4910,60,1017,7
web,-2.505501,-331.2,132.18914,15:03:09,16,2,3,1,15:05:21,4796,62,1064,8,0.0015277777777777,4780,60,1061,7
